Name,Position,Plate
pMYT001,A1,MYT
pMYT002,A2,MYT
pMYT003,A3,MYT
pMYT004,A4,MYT
pMYT005,A5,MYT
pMYT006,A6,MYT
pMYT007,A7,MYT
pMYT008,A8,MYT
pMYT009,A9,MYT
pMYT010,A10,MYT
pMYT011,A11,MYT
pMYT012,A12,MYT
pMYT013,B1,MYT
pMYT014,B2,MYT
pMYT015,B3,MYT
pMYT016,B4,MYT
pMYT017,B5,MYT
pMYT018,B6,MYT
pMYT019,B7,MYT
pMYT020,B8,MYT
pMYT021,B9,MYT
pMYT022,B10,MYT
pMYT023,B11,MYT
pMYT024,B12,MYT
pMYT025,C1,MYT
pMYT026,C2,MYT
pMYT027,C3,MYT
pMYT028,C4,MYT
pMYT029,C5,MYT
pMYT030,C6,MYT
pMYT031,C7,MYT
pMYT032,C8,MYT
pMYT033,C9,MYT
pMYT034,C10,MYT
pMYT035,C11,MYT
pMYT036,C12,MYT
pMYT037,D1,MYT
pMYT038,D2,MYT
pMYT039,D3,MYT
pMYT040,D4,MYT
pMYT041,D5,MYT
pMYT042,D6,MYT
pMYT043,D7,MYT
pMYT044,D8,MYT
pMYT045,D9,MYT
pMYT046,D10,MYT
pMYT047,D11,MYT
pMYT048,D12,MYT
pMYT049,E1,MYT
pMYT050,E2,MYT
pMYT051,E3,MYT
pMYT052,E4,MYT
pMYT053,E5,MYT
pMYT054,E6,MYT
pMYT055,E7,MYT
pMYT056,E8,MYT
pMYT057,E9,MYT
pMYT058,E10,MYT
pMYT059,E11,MYT
pMYT060,E12,MYT
pMYT061,F1,MYT
pMYT062,F2,MYT
pMYT063,F3,MYT
pMYT064,F4,MYT
pMYT065,F5,MYT
pMYT066,F6,MYT
pMYT067,F7,MYT
pMYT068,F8,MYT
pMYT069,F9,MYT
pMYT070,F10,MYT
pMYT071,F11,MYT
pMYT072,F12,MYT
pMYT073,G1,MYT
pMYT074,G2,MYT
pMYT075,G3,MYT
pMYT076,G4,MYT
pMYT077,G5,MYT
pMYT078,G6,MYT
pMYT079,G7,MYT
pMYT080,G8,MYT
pMYT081,G9,MYT
pMYT082,G10,MYT
pMYT083,G11,MYT
pMYT084,G12,MYT
pMYT085,H1,MYT
pMYT086,H2,MYT
pMYT087,H3,MYT
pMYT088,H4,MYT
pMYT089,H5,MYT
pMYT090,H6,MYT
pMYT091,H7,MYT
pMYT092,H8,MYT
pMYT093,HY,MYT
pMYT094,H10,MYT
pMYT095,H11,MYT
pMYT096,H12,MYT
pYTK001,A1,YTK
pYTK002,A2,YTK
pYTK003,A3,YTK
pYTK004,A4,YTK
pYTK005,A5,YTK
pYTK006,A6,YTK
pYTK007,A7,YTK
pYTK008,A8,YTK
pYTK009,A9,YTK
pYTK010,A10,YTK
pYTK011,A11,YTK
pYTK012,A12,YTK
pYTK013,B1,YTK
pYTK014,B2,YTK
pYTK015,B3,YTK
pYTK016,B4,YTK
pYTK017,B5,YTK
pYTK018,B6,YTK
pYTK019,B7,YTK
pYTK020,B8,YTK
pYTK021,B9,YTK
pYTK022,B10,YTK
pYTK023,B11,YTK
pYTK024,B12,YTK
pYTK025,C1,YTK
pYTK026,C2,YTK
pYTK027,C3,YTK
pYTK028,C4,YTK
pYTK029,C5,YTK
pYTK030,C6,YTK
pYTK031,C7,YTK
pYTK032,C8,YTK
pYTK033,C9,YTK
pYTK034,C10,YTK
pYTK035,C11,YTK
pYTK036,C12,YTK
pYTK037,D1,YTK
pYTK038,D2,YTK
pYTK039,D3,YTK
pYTK040,D4,YTK
pYTK041,D5,YTK
pYTK042,D6,YTK
pYTK043,D7,YTK
pYTK044,D8,YTK
pYTK045,D9,YTK
pYTK046,D10,YTK
pYTK047,D11,YTK
pYTK048,D12,YTK
pYTK049,E1,YTK
pYTK050,E2,YTK
pYTK051,E3,YTK
pYTK052,E4,YTK
pYTK053,E5,YTK
pYTK054,E6,YTK
pYTK055,E7,YTK
pYTK056,E8,YTK
pYTK057,E9,YTK
pYTK058,E10,YTK
pYTK059,E11,YTK
pYTK060,E12,YTK
pYTK061,F1,YTK
pYTK062,F2,YTK
pYTK063,F3,YTK
pYTK064,F4,YTK
pYTK065,F5,YTK
pYTK066,F6,YTK
pYTK067,F7,YTK
pYTK068,F8,YTK
pYTK069,F9,YTK
pYTK070,F10,YTK
pYTK071,F11,YTK
pYTK072,F12,YTK
pYTK073,G1,YTK
pYTK074,G2,YTK
pYTK075,G3,YTK
pYTK076,G4,YTK
pYTK077,G5,YTK
pYTK078,G6,YTK
pYTK079,G7,YTK
pYTK080,G8,YTK
pYTK081,G9,YTK
pYTK082,G10,YTK
pYTK083,G11,YTK
pYTK084,G12,YTK
pYTK085,H1,YTK
pYTK086,H2,YTK
pYTK087,H3,YTK
pYTK088,H4,YTK
pYTK089,H5,YTK
pYTK090,H6,YTK
pYTK091,H7,YTK
pYTK092,H8,YTK
pYTK093,H9,YTK
pYTK094,H10,YTK
pYTK095,H11,YTK
pYTK096,H12,YTK
pYSD001,A1,YSD
pYSD002,A2,YSD
pYSD003,A3,YSD
pYSD004,A4,YSD
pYSD005,A5,YSD
pYSD006,A6,YSD
pYSD007,A7,YSD
pYSD008,A8,YSD
pYSD009,A9,YSD
pYSD010,A10,YSD
pYSD011,A11,YSD
pYSD012,A12,YSD
pYSD013,B1,YSD
pYSD014,B2,YSD
pYSD015,B3,YSD
pYSD016,B4,YSD
pYSD017,B5,YSD
pYSD018,B6,YSD
pYSD019,B7,YSD
pYSD020,B8,YSD
pYSD021,B9,YSD
pYSD022,B10,YSD
pYSD023,B11,YSD
pYSD024,B12,YSD
pYSD025,C1,YSD
pYSD026,C2,YSD
pYSD027,C3,YSD
pYSD028,C4,YSD
pYSD029,C5,YSD
pYSD030,C6,YSD
pYSD031,C7,YSD
pYSD032,C8,YSD
pYSD033,C9,YSD
pYSD034,C10,YSD
